nr_powiatu;Obwodowa Komisja Wyborcza nr;BARTOSZEWICZ Artur;BIEJAT Magdalena Agnieszka;BRAUN Grzegorz Michał;HOŁOWNIA Szymon Franciszek;JAKUBIAK Marek;MACIAK Maciej;MENTZEN Sławomir Jerzy;NAWROCKI Karol Tadeusz;SENYSZYN Joanna;STANOWSKI Krzysztof Jakub;TRZASKOWSKI Rafał Kazimierz;WOCH Marek Marian;ZANDBERG Adrian Tadeusz;
20103;Obwodowa Komisja Wyborcza numer 2;2;12;37;9;1;1;83;208;4;1;47;0;13;
20103;Obwodowa Komisja Wyborcza numer 6;1;12;21;13;3;2;55;111;0;2;52;0;13;
20103;Obwodowa Komisja Wyborcza numer 4;0;5;22;7;1;0;43;91;0;1;60;0;6;
20302;Obwodowa Komisja Wyborcza numer 1;6;26;52;61;8;3;138;250;6;11;330;2;39;
20103;Obwodowa Komisja Wyborcza numer 1;0;25;68;26;3;2;140;312;7;8;306;2;20;
20103;Obwodowa Komisja Wyborcza numer 5;1;5;19;9;1;0;54;64;0;1;49;0;10;
20204;Obwodowa Komisja Wyborcza numer 1;5;38;55;43;3;3;129;243;9;5;251;0;27;
20302;Obwodowa Komisja Wyborcza numer 2;0;32;48;25;5;2;177;310;12;7;213;0;34;
20302;Obwodowa Komisja Wyborcza numer 4;9;25;40;21;4;2;94;230;6;6;163;1;12;
20303;Obwodowa Komisja Wyborcza numer 3;2;27;32;34;6;3;87;145;3;9;147;1;27;
20303;Obwodowa Komisja Wyborcza numer 2;9;29;30;49;6;1;87;207;10;9;273;0;36;
20204;Obwodowa Komisja Wyborcza numer 3;8;25;83;32;5;1;137;257;6;6;198;1;36;
20302;Obwodowa Komisja Wyborcza numer 3;6;32;78;48;15;2;199;426;5;6;401;0;60;
20103;Obwodowa Komisja Wyborcza numer 3;1;3;7;5;1;0;45;59;3;3;45;1;3;
20303;Obwodowa Komisja Wyborcza numer 1;10;50;58;77;10;1;212;280;11;18;305;3;70;
20204;Obwodowa Komisja Wyborcza numer 2;5;32;49;35;3;2;148;282;11;13;282;0;26;
20207;Obwodowa Komisja Wyborcza numer 4;0;9;27;13;4;1;49;109;2;0;100;0;11;
20303;Obwodowa Komisja Wyborcza numer 6;0;5;11;9;1;0;39;53;4;1;38;1;6;
20106;Obwodowa Komisja Wyborcza numer 5;4;24;61;20;2;0;89;125;10;6;131;0;26;
20106;Obwodowa Komisja Wyborcza numer 1;0;27;58;21;5;0;103;172;6;4;138;0;21;
20303;Obwodowa Komisja Wyborcza numer 7;0;6;12;18;2;0;19;64;4;1;44;0;6;
20207;Obwodowa Komisja Wyborcza numer 2;3;9;23;10;1;0;35;83;1;6;101;0;8;
20303;Obwodowa Komisja Wyborcza numer 4;1;11;23;12;4;1;43;79;1;0;43;0;18;
20303;Obwodowa Komisja Wyborcza numer 5;0;7;11;15;9;1;45;50;2;3;48;0;7;
20207;Obwodowa Komisja Wyborcza numer 1;3;18;28;11;4;0;48;163;5;3;152;0;10;
20207;Obwodowa Komisja Wyborcza numer 3;5;17;32;5;4;0;75;127;4;3;101;0;12;
20106;Obwodowa Komisja Wyborcza numer 4;3;21;36;21;0;0;85;199;3;4;146;2;23;
20207;;0;4;9;7;0;1;17;47;1;1;45;0;2;
20207;Obwodowa Komisja Wyborcza numer 5;0;10;34;19;2;0;74;85;1;8;64;0;5;
20106;Obwodowa Komisja Wyborcza numer 3;4;12;32;14;7;2;79;218;2;6;132;0;21;
20106;Obwodowa Komisja Wyborcza numer 2;4;23;44;24;1;2;102;120;5;4;170;1;20;
20106;Obwodowa Komisja Wyborcza numer 7;0;7;23;7;2;0;31;68;1;1;29;0;5;
20206;Obwodowa Komisja Wyborcza numer 9;1;5;8;8;2;0;33;82;1;2;21;0;7;
20106;Obwodowa Komisja Wyborcza numer 6;0;12;15;8;1;2;56;103;0;2;65;0;7;
20206;Obwodowa Komisja Wyborcza numer 3;0;3;29;11;2;1;95;183;1;3;72;0;15;
20206;Obwodowa Komisja Wyborcza numer 2;2;9;23;15;2;0;42;127;3;3;86;0;5;
20206;Obwodowa Komisja Wyborcza numer 5;2;22;50;43;6;0;114;240;4;7;196;0;33;
20106;Obwodowa Komisja Wyborcza numer 9;1;3;7;3;0;0;17;69;2;5;19;0;5;
20206;Obwodowa Komisja Wyborcza numer 7;0;6;7;8;1;0;41;112;2;0;37;1;1;
20206;Obwodowa Komisja Wyborcza numer 10;0;1;7;1;4;0;22;59;0;0;15;0;5;
20206;Obwodowa Komisja Wyborcza numer 8;0;5;26;8;1;1;46;123;2;0;35;1;12;
20206;Obwodowa Komisja Wyborcza numer 1;1;13;27;5;2;0;104;181;1;7;117;0;8;
20206;Obwodowa Komisja Wyborcza numer 6;0;19;30;21;7;1;81;168;6;6;152;0;12;
20206;Obwodowa Komisja Wyborcza numer 4;0;4;18;2;0;0;40;70;1;0;35;0;10;
20106;Obwodowa Komisja Wyborcza numer 8;1;0;12;3;1;0;38;72;3;3;42;0;10;
20106;Obwodowa Komisja Wyborcza numer 10;3;9;47;7;5;0;67;104;0;7;121;0;8;
20205;Obwodowa Komisja Wyborcza numer 1;0;4;16;9;1;1;27;41;1;2;56;0;3;
20205;Obwodowa Komisja Wyborcza numer 2;3;22;18;20;2;0;74;80;2;6;114;0;7;
20205;Obwodowa Komisja Wyborcza numer 4;1;16;8;6;1;0;36;75;2;2;51;0;13;
20205;Obwodowa Komisja Wyborcza numer 3;2;7;23;5;3;0;57;72;1;7;103;0;10;
20205;Obwodowa Komisja Wyborcza numer 9;3;18;56;21;8;0;132;268;0;8;204;1;25;
20205;Obwodowa Komisja Wyborcza numer 7;2;7;6;11;3;1;43;88;5;3;57;0;13;
20205;Obwodowa Komisja Wyborcza numer 12;0;6;10;7;0;0;33;86;2;1;51;0;4;
20205;Obwodowa Komisja Wyborcza numer 14;0;2;7;7;1;0;20;69;1;0;41;1;5;
20205;Obwodowa Komisja Wyborcza numer 10;4;8;25;17;3;0;50;102;5;1;85;0;7;
20205;Obwodowa Komisja Wyborcza numer 8;1;2;11;11;1;1;60;110;6;3;35;0;10;
20205;Obwodowa Komisja Wyborcza numer 5;2;6;20;2;4;0;38;78;2;1;56;0;7;
20205;Obwodowa Komisja Wyborcza numer 13;1;1;15;12;3;2;33;78;2;1;63;0;10;
20205;Obwodowa Komisja Wyborcza numer 15;0;1;2;6;1;0;18;6;0;1;74;0;1;
20205;Obwodowa Komisja Wyborcza numer 6;10;20;33;16;7;1;83;181;2;8;147;0;19;
20205;Obwodowa Komisja Wyborcza numer 11;2;18;29;27;1;0;88;159;6;7;212;2;21;
20105;Obwodowa Komisja Wyborcza numer 3;0;13;22;10;0;0;36;59;1;0;62;1;16;
20105;Obwodowa Komisja Wyborcza numer 2;5;21;80;24;6;2;120;185;7;10;251;3;49;
20203;Obwodowa Komisja Wyborcza numer 2;3;17;31;18;4;2;60;146;2;7;176;0;20;
20105;Obwodowa Komisja Wyborcza numer 1;5;26;66;20;1;2;93;158;2;3;108;1;13;
20105;Obwodowa Komisja Wyborcza numer 4;0;9;26;16;2;0;33;104;2;2;80;0;6;
20105;Obwodowa Komisja Wyborcza numer 7;2;32;67;24;4;2;153;104;6;11;195;2;42;
20203;Obwodowa Komisja Wyborcza numer 5;9;3;21;6;1;2;36;75;3;2;45;0;8;
20203;Obwodowa Komisja Wyborcza numer 4;5;19;41;32;4;0;132;186;3;11;207;1;29;
20203;Obwodowa Komisja Wyborcza numer 8;2;4;16;9;0;0;44;48;3;4;63;2;9;
20203;Obwodowa Komisja Wyborcza numer 3;3;20;46;19;0;0;77;187;6;7;196;0;16;
20203;Obwodowa Komisja Wyborcza numer 6;1;5;21;4;1;0;46;83;1;0;72;1;7;
20105;Obwodowa Komisja Wyborcza numer 5;2;10;22;21;1;2;77;122;6;2;130;1;14;
20203;Obwodowa Komisja Wyborcza numer 9;6;21;64;33;4;3;104;226;6;1;291;2;31;
20105;Obwodowa Komisja Wyborcza numer 6;0;6;13;5;0;0;21;37;1;0;39;0;8;
20203;Obwodowa Komisja Wyborcza numer 7;1;9;21;12;0;0;55;78;7;0;107;0;15;
20203;Obwodowa Komisja Wyborcza numer 1;3;3;18;17;4;0;29;130;0;5;115;0;13;
20104;Obwodowa Komisja Wyborcza numer 1;2;13;31;31;5;0;123;139;6;6;85;1;12;
20203;Obwodowa Komisja Wyborcza numer 10;0;1;0;2;0;0;2;7;0;2;5;0;0;
20104;Obwodowa Komisja Wyborcza numer 12;0;2;8;4;0;2;35;35;1;0;29;1;1;
20104;Obwodowa Komisja Wyborcza numer 6;2;7;22;11;2;0;54;81;6;4;60;0;11;
20104;Obwodowa Komisja Wyborcza numer 14;2;0;1;3;0;1;0;4;0;0;5;0;0;
20104;Obwodowa Komisja Wyborcza numer 10;3;9;81;39;5;4;163;325;3;7;155;1;27;
20104;Obwodowa Komisja Wyborcza numer 9;0;10;24;22;1;0;60;86;2;3;80;0;9;
20203;Obwodowa Komisja Wyborcza numer 11;1;3;1;0;0;0;0;6;0;2;2;0;0;
20104;Obwodowa Komisja Wyborcza numer 4;2;11;62;17;4;0;152;255;2;3;72;0;23;
20104;Obwodowa Komisja Wyborcza numer 13;0;0;0;0;0;0;2;3;1;0;4;0;0;
20104;Obwodowa Komisja Wyborcza numer 3;2;6;16;8;2;1;54;61;2;2;72;0;9;
20104;Obwodowa Komisja Wyborcza numer 11;6;20;45;31;1;2;122;179;7;13;161;0;22;
20104;Obwodowa Komisja Wyborcza numer 8;0;25;110;39;5;2;130;297;8;19;239;2;22;
20104;Obwodowa Komisja Wyborcza numer 2;0;17;33;15;3;0;82;207;6;4;102;0;10;
20104;Obwodowa Komisja Wyborcza numer 7;9;37;79;44;5;2;188;369;6;10;246;0;41;
20104;Obwodowa Komisja Wyborcza numer 5;0;16;44;17;5;1;128;217;6;3;134;0;23;
20102;Obwodowa Komisja Wyborcza numer 10;2;17;47;24;1;0;91;136;7;9;231;0;23;
20102;Obwodowa Komisja Wyborcza numer 1;0;5;13;10;1;0;58;79;0;0;62;0;7;
20102;Obwodowa Komisja Wyborcza numer 16;0;1;7;5;0;0;40;30;2;0;22;0;0;
20102;Obwodowa Komisja Wyborcza numer 9;4;46;67;41;5;4;154;219;13;10;443;0;39;
20102;Obwodowa Komisja Wyborcza numer 8;1;17;26;14;5;2;91;122;3;5;117;0;20;
20102;Obwodowa Komisja Wyborcza numer 12;1;3;18;3;1;0;20;30;3;2;30;0;3;
20102;Obwodowa Komisja Wyborcza numer 11;0;9;24;16;6;0;84;220;3;4;81;0;9;
20102;Obwodowa Komisja Wyborcza numer 6;0;9;12;10;2;0;67;64;5;3;66;0;6;
20102;Obwodowa Komisja Wyborcza numer 14;0;10;10;10;6;2;45;71;3;1;66;0;8;
20102;Obwodowa Komisja Wyborcza numer 5;6;31;35;23;4;0;96;129;4;10;193;1;29;
