['26401', 'g']
['26501', 'g']
['66401', 'g']
['26101', 'g']
['46201', 'g']
['66101', 'g']
['46101', 'g']
['26201', 'g']
['86201', 'g']
['46301', 'g']
['106101', 'g']
['46401', 'g']
['86101', 'g']
['66301', 'g']
['106201', 'g']
['66201', 'g']
['126201', 'g']
['146201', 'g']
['106301', 'g']
['166101', 'g']
['146101', 'g']
['186301', 'g']
['186201', 'g']
['126301', 'g']
['126101', 'g']
['146301', 'g']
['186101', 'g']
['146401', 'g']
['206301', 'g']
['206201', 'g']
['186401', 'g']
['206101', 'g']
['226101', 'g']
['246201', 'g']
['246301', 'g']
['226401', 'g']
['246401', 'g']
['226201', 'g']
['226301', 'g']
['246501', 'g']
['246701', 'g']
['246101', 'g']
['246601', 'g']
['246801', 'g']
['247101', 'g']
['246901', 'g']
['247001', 'g']
['247201', 'g']
['247601', 'g']
['247301', 'g']
['247401', 'g']
['247501', 'g']
['247801', 'g']
['266101', 'g']
['286201', 'g']
['247701', 'g']
['286101', 'g']
['247901', 'g']
['306101', 'g']
['306201', 'g']
['326101', 'g']
['306301', 'g']
['326301', 'g']
['306401', 'g']
['326201', 'g']
['146501', 'p']
